Villiage,total2016,total2019,KMT2019,KMT2016,DPP2016,DPP2019
國順里,905 ,390,143,252,611,192
國順里,863 ,396,149,257,578,203
國慶里,866 ,391,158,278,564,185
國慶里,825 ,356,166,327,473,149
國慶里,914 ,369,179,331,553,153
揚雅里,1138 ,558,219,337,756,237
揚雅里,1006 ,521,245,341,619,217
斯文里,809 ,247,101,254,511,122
斯文里,771 ,277,110,198,535,134
斯文里,742 ,507,224,290,429,221
斯文里,767 ,228,86,256,479,121
鄰江里,1034 ,458,166,351,647,245
鄰江里,972 ,458,191,306,626,214
鄰江里,933 ,489,195,300,608,234
鄰江里,1028 ,534,224,363,634,228
至聖里,964 ,395,154,352,570,174
至聖里,945 ,416,183,349,545,182
至聖里,988 ,449,200,381,569,197
至聖里,908 ,405,195,358,513,156
至聖里,942 ,410,174,291,614,194
老師里,936 ,379,144,277,631,190
老師里,893 ,359,117,295,570,193
老師里,859 ,389,145,283,542,193
老師里,851 ,399,157,274,545,178
重慶里,783 ,377,161,298,448,187
重慶里,1015 ,418,205,351,620,160
重慶里,982 ,446,218,448,495,161
重慶里,1076 ,451,219,428,599,157
保安里,842 ,362,138,271,536,185
保安里,831 ,421,176,284,514,201
保安里,826 ,414,135,274,522,219
